Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото
ZB Wine Sauvignon Blanc,Белое,Светло-соломенный с лёгким зеленоватым оттенком,Крым,Совиньон Блан,"Яркий аромат: лайм, грейпфрут, свежескошенная трава, цветки смородины, ананас и манго. Вкус гармоничный и изящный, с хорошей сортовой кислотностью.
Идеален к морепродуктам, устрицам, рыбе на гриле, салатам с зелёными травами, козьим сырам.",Золотая Балка,zolotaya-balka-zb-wine-sauvignon-blanc-sovinon-blan-beloe-suhoe-125,zolotaya-balka-zb-wine-sauvignon-blanc-sovinon-blan-beloe-suhoe-125.webp
ZB Wine Sauvignon Blanc,Белое,Светло-соломенный с лёгким зеленоватым оттенком,Крым,Совиньон Блан,"Яркий аромат: лайм, грейпфрут, свежескошенная трава, цветки смородины, ананас и манго. Вкус гармоничный и изящный, с хорошей сортовой кислотностью.
Идеален к морепродуктам, устрицам, рыбе на гриле, салатам с зелёными травами, козьим сырам.",Золотая Балка,zolotaya-balka-zb-wine-sauvignon-blanc-sovinon-blan-beloe-suhoe-125,zolotaya-balka-zb-wine-sauvignon-blanc-sovinon-blan-beloe-suhoe-125.webp
Абрау Дюрсо Удельное Ведомство Императорское белое брют,Белое,Светло-соломенный с тонким зеленоватым оттенком,Кубань,"Рислинг, Совиньон Блан, Шардоне","Великолепное вино, искрящееся множеством мелких пузырьков, имеющее нежный цветочно-фруктовый аромат и свежий вкус с душистым, привлекательным послевкусием. Благодаря универсальному характеру, игристое вино станет не только восхитительным аперитивом, но и составит пару широкому спектру блюд. Абрау-Дюрсо, Брют — одно из лучших российских игристых вин. Оно произведено мастерами Русского Шампанского Дома Абрау-Дюрсо по французской технологии методом Шарма из купажа тщательно отобранного винограда. Метод Шарма был разработан в Италии директором института энологии города Асти Федерико Мартинотти. Особенность технологии заключается в проведении вторичной ферментации в больших герметичных цистернах, после чего вино фильтруется, стабилизируется и разливается под давлением в отдельные бутылки. Вино имеет неограниченный срок хранения, в зависимости от длительности выдержки крепость вина может колебаться от 10,5 до 12,5%.",Абрау-Дюрсо,abrau-dyurso-udelnoe-vedomstvo-imperatorskoe-beloe-bryut,Абрау Дюрсо Удельное ведомтсво брют.webp
Абрау Дюрсо Удельное Ведомство Императорское белое брют,Белое,Светло-соломенный с тонким зеленоватым оттенком,Кубань,"Рислинг, Совиньон Блан, Шардоне","Великолепное вино, искрящееся множеством мелких пузырьков, имеющее нежный цветочно-фруктовый аромат и свежий вкус с душистым, привлекательным послевкусием. Благодаря универсальному характеру, игристое вино станет не только восхитительным аперитивом, но и составит пару широкому спектру блюд. Абрау-Дюрсо, Брют — одно из лучших российских игристых вин. Оно произведено мастерами Русского Шампанского Дома Абрау-Дюрсо по французской технологии методом Шарма из купажа тщательно отобранного винограда. Метод Шарма был разработан в Италии директором института энологии города Асти Федерико Мартинотти. Особенность технологии заключается в проведении вторичной ферментации в больших герметичных цистернах, после чего вино фильтруется, стабилизируется и разливается под давлением в отдельные бутылки. Вино имеет неограниченный срок хранения, в зависимости от длительности выдержки крепость вина может колебаться от 10,5 до 12,5%.",Абрау-Дюрсо,abrau-dyurso-udelnoe-vedomstvo-imperatorskoe-beloe-bryut,Абрау Дюрсо Удельное ведомтсво брют.webp
Абрау Дюрсо Удельное Ведомство Императорское белое полусладкое,Белое,Светло-соломенный с тонким золотистым оттенком,Кубань,"Рислинг, Совиньон Блан, Шардоне","Великолепное свежее игристое вино, искрящееся золотистыми живыми пузырьками, имеющее яркий ароматный букет с нотками цитрусовых фруктов, яблока и груши и прекрасно сбалансированный вкус с длительным послевкусием. Полусладкое от Абрау-Дюрсо — одно из лучших российских игристых вин, завоевавшее четыре медали на международных винных конкурсах. Оно произведено мастерами Русского Шампанского Дома Абрау-Дюрсо по французской технологии методом Шарма из купажа тщательно отобранного винограда. Метод Шарма был разработан в Италии директором института энологии города Асти Федерико Мартинотти. Особенность технологии заключается в проведении вторичной ферментации в больших герметичных цистернах, после чего вино фильтруется, стабилизируется и разливается под давлением в отдельные бутылки. Вино имеет неограниченный срок хранения, в зависимости от длительности выдержки крепость вина может колебаться от 10,5 до 12,5%.",Абрау-Дюрсо,abrau-dyurso-udelnoe-vedomstvo-imperatorskoe-beloe-polusladkoe,Абрау Дюрсо Удельное Ведомство Императорское белое полусладкое.webp
Абрау Дюрсо Удельное Ведомство Императорское белое полусладкое,Белое,Светло-соломенный с тонким золотистым оттенком,Кубань,"Рислинг, Совиньон Блан, Шардоне","Великолепное свежее игристое вино, искрящееся золотистыми живыми пузырьками, имеющее яркий ароматный букет с нотками цитрусовых фруктов, яблока и груши и прекрасно сбалансированный вкус с длительным послевкусием. Полусладкое от Абрау-Дюрсо — одно из лучших российских игристых вин, завоевавшее четыре медали на международных винных конкурсах. Оно произведено мастерами Русского Шампанского Дома Абрау-Дюрсо по французской технологии методом Шарма из купажа тщательно отобранного винограда. Метод Шарма был разработан в Италии директором института энологии города Асти Федерико Мартинотти. Особенность технологии заключается в проведении вторичной ферментации в больших герметичных цистернах, после чего вино фильтруется, стабилизируется и разливается под давлением в отдельные бутылки. Вино имеет неограниченный срок хранения, в зависимости от длительности выдержки крепость вина может колебаться от 10,5 до 12,5%.",Абрау-Дюрсо,abrau-dyurso-udelnoe-vedomstvo-imperatorskoe-beloe-polusladkoe,Абрау Дюрсо Удельное Ведомство Императорское белое полусладкое.webp
Абрау Дюрсо Физз белое брют,Белое,Светло-соломенный,Кубань,"Августин, Бианка, Ркацители, Шардоне","Легкое игристое вино от российского винного дома Абрау-Дюрсо, созданное в стиле «жемчужного» брюта. Это довольно универсальное игристое вино, которое отлично впишется и в атмосферу праздника, и подойдет для повседневного наслаждения жарким вечером буднего дня. Удобная и симпатичная баночка с ее игристым содержимым - идеальный вариант для дружеской встречи на природе или пикника весной и летом, которая подарит ощущение легкости, свежести и светлое настроение.",Абрау-Дюрсо,abrau-dyurso-fizz-beloe-bryut,Абрау Дюрсо физз брют.webp
Абрау Дюрсо Физз белое брют,Белое,Светло-соломенный,Кубань,"Августин, Бианка, Ркацители, Шардоне","Легкое игристое вино от российского винного дома Абрау-Дюрсо, созданное в стиле «жемчужного» брюта. Это довольно универсальное игристое вино, которое отлично впишется и в атмосферу праздника, и подойдет для повседневного наслаждения жарким вечером буднего дня. Удобная и симпатичная баночка с ее игристым содержимым - идеальный вариант для дружеской встречи на природе или пикника весной и летом, которая подарит ощущение легкости, свежести и светлое настроение.",Абрау-Дюрсо,abrau-dyurso-fizz-beloe-bryut,Абрау Дюрсо физз брют.webp
Абрау Дюрсо Физз белое полусладкое,Белое,Светло-соломенный,Кубань,"Августин, Бианка, Ркацители, Шардоне","Легкое игристое полусладкое вино от российского винного дома Абрау‑Дюрсо, созданное в жемчужном стиле. Для его производства используется виноград сортов Бианка, Шардоне и Ркацители. Это довольно универсальное игристое вино, которое отлично впишется и в атмосферу праздника, и подойдет для повседневного наслаждения жарким вечером буднего дня. Удобная и симпатичная баночка с ее содержимым - идеальный вариант для дружеской встречи на природе или пикника весной и летом, которая подарит ощущение легкости, свежести и светлое настроение.",Абрау-Дюрсо,abrau-dyurso-fizz-beloe-polusladkoe,Абрау Дюрсо физз полусладкое.webp
Абрау Дюрсо Физз белое полусладкое,Белое,Светло-соломенный,Кубань,"Августин, Бианка, Ркацители, Шардоне","Легкое игристое полусладкое вино от российского винного дома Абрау‑Дюрсо, созданное в жемчужном стиле. Для его производства используется виноград сортов Бианка, Шардоне и Ркацители. Это довольно универсальное игристое вино, которое отлично впишется и в атмосферу праздника, и подойдет для повседневного наслаждения жарким вечером буднего дня. Удобная и симпатичная баночка с ее содержимым - идеальный вариант для дружеской встречи на природе или пикника весной и летом, которая подарит ощущение легкости, свежести и светлое настроение.",Абрау-Дюрсо,abrau-dyurso-fizz-beloe-polusladkoe,Абрау Дюрсо физз полусладкое.webp
